Seq#	Kingdom	Phylum	Class	Order	Family	Genus	Species	V8	V9	V10	V11	V12	V13	V14
Seq_1758	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	61	19	9	9	9	9
Seq_1759	k__Fungi	NA	NA	NA	NA	NA	NA	100	46	18	7	7	7	7
Seq_1760	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	64	35	10	7	7	7
Seq_1761	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	56	27	17	17	17	17
Seq_1762	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	NA	NA	NA	100	100	98	87	48	47	47
Seq_1763	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	77	29	17	15	10	10
Seq_1764	k__Fungi	p__Mortierellomycota	NA	NA	NA	NA	NA	100	51	41	41	41	41	41
Seq_1765	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Pluteaceae	g__Volvariella	NA	100	77	76	74	72	72	44
Seq_1766	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Pyrenochaetopsis	NA	100	100	99	99	99	98	95
Seq_1767	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	NA	100	59	53	53	53	53	8
Seq_1768	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Sclerostagonospora	NA	100	100	99	99	82	82	82
Seq_1769	k__Fungi	p__Zoopagomycota	NA	NA	NA	NA	NA	100	52	52	52	52	52	52
Seq_1770	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__oxysporum	100	100	100	100	100	100	100
Seq_1771	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Periconiaceae	g__Periconia	s__cookei	100	100	100	100	100	100	100
Seq_1772	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	NA	100	86	86	86	86	86	12
Seq_1773	k__Fungi	p__Basidiomycota	c__Geminibasidiomycetes	o__Geminibasidiales	f__Geminibasidiaceae	g__Basidioascus	s__undulatus	100	100	100	100	100	100	96
Seq_1774	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	59	11	8	7	7	7
Seq_1775	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	55	10	6	6	6	6
Seq_1776	k__Fungi	NA	NA	NA	NA	NA	NA	100	42	21	10	10	10	10
Seq_1777	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	50	24	24	24	24	24
Seq_1778	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	NA	NA	NA	100	100	95	89	27	27	27
Seq_1779	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	NA	NA	NA	100	100	93	90	81	81	81
Seq_1780	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	85	44	26	22	17	17
Seq_1781	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Microbotryomycetes_fam_Incertae_sedis	g__Colacogloea	s__falcata	100	76	58	57	57	57	50
Seq_1782	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	51	31	27	27	27	27
Seq_1783	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA	100	99	90	30	28	28	28
Seq_1784	k__Fungi	NA	NA	NA	NA	NA	NA	100	42	11	11	11	11	11
Seq_1785	k__Fungi	NA	NA	NA	NA	NA	NA	100	17	8	8	4	4	3
Seq_1786	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Beauveria	s__pseudobassiana	100	100	100	100	100	99	96
Seq_1787	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	NA	NA	NA	NA	100	67	58	41	41	15	15
Seq_1788	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Schizothecium	s__carpinicola	100	100	100	100	100	100	86
Seq_1789	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Pluteaceae	g__Pluteus	NA	100	95	94	93	89	89	24
Seq_1790	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	99	18	18	18	18	18
Seq_1791	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	NA	NA	100	100	100	100	100	61	61
Seq_1792	k__Fungi	NA	NA	NA	NA	NA	NA	100	39	2	2	2	2	2
Seq_1793	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Entolomataceae	g__Entoloma	s__shandongense	100	100	100	100	100	100	83
Seq_1794	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Pyrenochaeta	NA	100	100	96	96	85	84	43
Seq_1795	k__Fungi	NA	NA	NA	NA	NA	NA	100	38	4	4	4	4	4
Seq_1796	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae	100	99	99	99	99	99	97
Seq_1797	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	NA	NA	NA	100	99	96	92	29	14	14
Seq_1798	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	55	14	8	8	8	6
Seq_1799	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	53	22	12	10	10	10
Seq_1800	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Filobasidium	s__oeirense	100	100	100	100	100	100	100
Seq_1801	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	65	25	10	9	9	9
Seq_1802	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Stilbella	s__byssiseda	100	100	100	99	56	56	56
Seq_1803	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Mariannaea	s__catenulatae	100	100	100	100	100	100	100
Seq_1804	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	NA	100	100	100	100	99	99	44
Seq_1805	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	91	38	28	25	24	24
Seq_1806	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	79	28	21	17	17	17
Seq_1807	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA	100	52	11	10	9	8	8
