sample_name	file_name	input	filtered	denoised	merged	tabled	nonchim
Angel-ITS029-RB13_S29	Angel-ITS029-RB13_S29_L001_R1_001_noPrimers.fastq.gz	61295	45032	44896	38838	38838	37658
Angel-ITS030-RB15_S30	Angel-ITS030-RB15_S30_L001_R1_001_noPrimers.fastq.gz	49516	38012	37990	29179	29179	29175
Angel-ITS031-RK13_S31	Angel-ITS031-RK13_S31_L001_R1_001_noPrimers.fastq.gz	61026	49065	48906	45853	45853	44021
Angel-ITS032-RK14_S32	Angel-ITS032-RK14_S32_L001_R1_001_noPrimers.fastq.gz	52559	44986	44819	40277	40277	40041
Angel-ITS033-RK15_S33	Angel-ITS033-RK15_S33_L001_R1_001_noPrimers.fastq.gz	62694	44274	44123	43344	43344	41492
Angel-ITS034-RK16_S34	Angel-ITS034-RK16_S34_L001_R1_001_noPrimers.fastq.gz	60965	54080	54015	47764	47764	47684
Angel-ITS035-RB14_S35	Angel-ITS035-RB14_S35_L001_R1_001_noPrimers.fastq.gz	77217	53100	52922	34663	34663	33266
Angel-ITS036-RB16_S36	Angel-ITS036-RB16_S36_L001_R1_001_noPrimers.fastq.gz	53519	35375	35211	32090	32090	30783
Eva1-GK1_S13	Eva1-GK1_S13_L001_R1_001_noPrimers.fastq.gz	4	1	1	1	1	1
Eva10-RK2_S22	Eva10-RK2_S22_L001_R1_001_noPrimers.fastq.gz	71344	58809	58584	57286	57286	54284
Eva11-GB2_S23	Eva11-GB2_S23_L001_R1_001_noPrimers.fastq.gz	82299	67351	67080	65365	65365	62458
Eva12-RB2_S24	Eva12-RB2_S24_L001_R1_001_noPrimers.fastq.gz	67853	56198	56056	54887	54887	53127
Eva13-GA2_S25	Eva13-GA2_S25_L001_R1_001_noPrimers.fastq.gz	65555	58185	58097	57433	57433	55461
Eva14-RA2_S26	Eva14-RA2_S26_L001_R1_001_noPrimers.fastq.gz	73199	55272	55100	53116	53116	50283
Eva15-B1_S27	Eva15-B1_S27_L001_R1_001_noPrimers.fastq.gz	88148	68045	67377	63806	63806	63624
Eva16-GF_S28	Eva16-GF_S28_L001_R1_001_noPrimers.fastq.gz	65741	53852	53545	51952	51952	50651
Eva17-GK3_S29	Eva17-GK3_S29_L001_R1_001_noPrimers.fastq.gz	146847	115585	115343	113733	113733	106614
Eva18-RK3_S30	Eva18-RK3_S30_L001_R1_001_noPrimers.fastq.gz	72488	60644	60454	58735	58735	55627
Eva19-GB3_S31	Eva19-GB3_S31_L001_R1_001_noPrimers.fastq.gz	71248	56790	56607	55009	55009	52469
Eva2-RK1_S14	Eva2-RK1_S14_L001_R1_001_noPrimers.fastq.gz	64	52	42	36	36	34
Eva20-RB3_S32	Eva20-RB3_S32_L001_R1_001_noPrimers.fastq.gz	62354	51202	50973	49853	49853	48830
Eva21-GA3_S33	Eva21-GA3_S33_L001_R1_001_noPrimers.fastq.gz	77145	67654	67562	66853	66853	64506
Eva22-RA3_S34	Eva22-RA3_S34_L001_R1_001_noPrimers.fastq.gz	74161	63781	63582	62363	62363	59745
Eva23-A1_S35	Eva23-A1_S35_L001_R1_001_noPrimers.fastq.gz	65424	50987	50542	48852	48852	48590
Eva24-NTC_S36	Eva24-NTC_S36_L001_R1_001_noPrimers.fastq.gz	30799	24964	24703	24043	24043	23351
Eva25-GK4_S37	Eva25-GK4_S37_L001_R1_001_noPrimers.fastq.gz	54172	46850	46701	45693	45693	43484
Eva26-RK4_S38	Eva26-RK4_S38_L001_R1_001_noPrimers.fastq.gz	73304	60745	60539	58311	58311	55372
Eva27-GB4_S39	Eva27-GB4_S39_L001_R1_001_noPrimers.fastq.gz	61604	50394	50237	49031	49031	46565
Eva28-RB4_S40	Eva28-RB4_S40_L001_R1_001_noPrimers.fastq.gz	54128	43984	43849	40929	40929	39349
Eva29-GA4_S41	Eva29-GA4_S41_L001_R1_001_noPrimers.fastq.gz	71124	60482	60383	59875	59875	56820
Eva3-GB1_S15	Eva3-GB1_S15_L001_R1_001_noPrimers.fastq.gz	66938	52224	52076	50842	50842	49278
