Seq#	Domain	Phylum	Class	Order	Family	Genus	Species	Exact species
Seq_4181	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA	NA
Seq_4182	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA	NA
Seq_4183	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	NA
Seq_4184	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseimicrobium	NA	NA
Seq_4185	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	NA	NA
Seq_4186	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
Seq_4187	Bacteria	Acidobacteria	Subgroup 17	NA	NA	NA	NA	NA
Seq_4188	Bacteria	Gemmatimonadetes	S0134 terrestrial group	NA	NA	NA	NA	NA
Seq_4189	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	NA	NA
Seq_4190	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA	NA	NA
Seq_4191	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4192	Bacteria	Acidobacteria	Subgroup 15	NA	NA	NA	NA	NA
Seq_4193	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS 17	NA	NA	NA
Seq_4194	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA	NA
Seq_4195	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	SC-I-84	NA	NA	NA
Seq_4196	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA	NA	NA
Seq_4197	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	NA
Seq_4198	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA	NA
Seq_4199	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4200	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	NA	NA
Seq_4201	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	NA	NA
Seq_4202	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	NA	NA	NA	NA
Seq_4203	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4204	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	NA
Seq_4205	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	NA
Seq_4206	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	NA	NA
Seq_4207	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Pajaroellobacter	NA	NA
Seq_4208	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4209	Bacteria	Acidobacteria	Subgroup 17	NA	NA	NA	NA	NA
Seq_4210	Bacteria	Acidobacteria	NA	NA	NA	NA	NA	NA
Seq_4211	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA	NA	NA
Seq_4212	Bacteria	Chloroflexi	Dehalococcoidia	S085	NA	NA	NA	NA
Seq_4213	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	NA	NA
Seq_4214	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	Oligoflexus	NA	NA
Seq_4215	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	NA	NA	NA	NA
Seq_4216	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	NA	NA
Seq_4217	Bacteria	Chloroflexi	KD4-96	NA	NA	NA	NA	NA
Seq_4218	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4219	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	NA
Seq_4220	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29 marine group	NA	NA
Seq_4221	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4222	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	NA	NA	NA	NA
Seq_4223	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	Terrimicrobium	NA	NA
Seq_4224	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis	NA	NA
Seq_4225	Bacteria	Actinobacteria	NA	NA	NA	NA	NA	NA
Seq_4226	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA	NA
Seq_4227	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	Oligoflexus	NA	NA
Seq_4228	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	NA
Seq_4229	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	NA	NA
Seq_4230	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA	NA
Seq_4231	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus Saccharimonas	NA	NA
Seq_4232	Bacteria	Actinobacteria	Acidimicrobiia	IMCC26256	NA	NA	NA	NA
Seq_4233	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Schlesneriaceae	Schlesneria	NA	NA
Seq_4234	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	NA	NA
Seq_4235	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	NA	NA
Seq_4236	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	TRA3-20	NA	NA	NA
Seq_4237	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	bacteriap25	NA	NA	NA
Seq_4238	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	NA	NA	NA
Seq_4239	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	TRA3-20	NA	NA	NA
Seq_4240	Bacteria	Acidobacteria	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	NA	NA
Seq_4241	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA	NA
Seq_4242	Bacteria	Planctomycetes	OM190	NA	NA	NA	NA	NA
Seq_4243	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	NA	NA
Seq_4244	Bacteria	Actinobacteria	NA	NA	NA	NA	NA	NA
Seq_4245	Bacteria	Proteobacteria	Gammaproteobacteria	PLTA13	NA	NA	NA	NA
Seq_4246	Bacteria	Planctomycetes	OM190	NA	NA	NA	NA	NA
Seq_4247	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4248	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	NA
Seq_4249	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	NA
Seq_4250	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	NA	NA
Seq_4251	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	NA
Seq_4252	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA	NA	NA
Seq_4253	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	NA
Seq_4254	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	NA
Seq_4255	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	mle1-27	NA	NA	NA
Seq_4256	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA	NA
Seq_4257	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera	NA	NA
Seq_4258	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA	NA
Seq_4259	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	NA
Seq_4260	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA	NA
Seq_4261	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	NA	NA
Seq_4262	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	NA
Seq_4263	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	NA	NA	NA
Seq_4264	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	NA	NA	NA
Seq_4265	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4266	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	Zavarzinella	NA	NA
Seq_4267	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	NA
Seq_4268	Bacteria	Chloroflexi	Ktedonobacteria	C0119	NA	NA	NA	NA
Seq_4269	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4270	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	NA
Seq_4271	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	NA	NA
Seq_4272	Bacteria	Planctomycetes	Pla4 lineage	NA	NA	NA	NA	NA
Seq_4273	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA	NA	NA
Seq_4274	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	NA	NA
Seq_4275	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseimicrobium	NA	NA
Seq_4276	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Sandaracinus	NA	NA
Seq_4277	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	NA	NA	NA
Seq_4278	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	IS-44	NA	NA
Seq_4279	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	NA	NA
Seq_4280	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	AKYH767	NA	NA	NA
Seq_4281	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	NA	NA
Seq_4282	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	NA	NA	NA
Seq_4283	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA	NA	NA
Seq_4284	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA	NA	NA
Seq_4285	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4286	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA	NA
Seq_4287	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA	NA
Seq_4288	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA	NA
Seq_4289	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	NA
Seq_4290	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4291	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	NA	NA
Seq_4292	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter	NA	NA
Seq_4293	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA	NA
Seq_4294	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	NA	NA	NA
Seq_4295	Bacteria	Chloroflexi	Dehalococcoidia	S085	NA	NA	NA	NA
Seq_4296	Bacteria	Gemmatimonadetes	BD2-11 terrestrial group	NA	NA	NA	NA	NA
Seq_4297	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Pajaroellobacter	NA	NA
Seq_4298	Bacteria	Acidobacteria	Subgroup 6	Unknown Order	Unknown Family	Vicinamibacter	NA	NA
Seq_4299	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	NA	NA
Seq_4300	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	NA
Seq_4301	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4302	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4303	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4304	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	MND1	NA	NA
Seq_4305	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella	NA	NA
Seq_4306	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	NA
Seq_4307	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	NA	NA	NA
Seq_4308	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseimicrobium	NA	NA
Seq_4309	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA	NA	NA
Seq_4310	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Stackebrandtia	NA	NA
Seq_4311	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4312	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	NA	NA
Seq_4313	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	NA	NA
Seq_4314	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA	NA
Seq_4315	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	NA
Seq_4316	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4317	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	NA	NA
Seq_4318	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA	NA
Seq_4319	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA	NA
Seq_4320	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4321	Bacteria	Gemmatimonadetes	S0134 terrestrial group	NA	NA	NA	NA	NA
Seq_4322	Bacteria	Actinobacteria	0319-7L14	NA	NA	NA	NA	NA
Seq_4323	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	NA
Seq_4324	Bacteria	Actinobacteria	Acidimicrobiia	NA	NA	NA	NA	NA
Seq_4325	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	NA	NA	NA
Seq_4326	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	NA
Seq_4327	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Niabella	NA	NA
Seq_4328	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	NA	NA	NA	NA
Seq_4329	Bacteria	Actinobacteria	Acidimicrobiia	IMCC26256	NA	NA	NA	NA
Seq_4330	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4331	Bacteria	Actinobacteria	MB-A2-108	NA	NA	NA	NA	NA
Seq_4332	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium	NA	NA
Seq_4333	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	NA
Seq_4334	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	NA
Seq_4335	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	NA
Seq_4336	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Bauldia	NA	NA
Seq_4337	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4338	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	NA
Seq_4339	Bacteria	Verrucomicrobia	Verrucomicrobiae	NA	NA	NA	NA	NA
Seq_4340	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon	NA	NA
Seq_4341	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	NA
Seq_4342	Bacteria	Acidobacteria	Holophagae	Subgroup 7	NA	NA	NA	NA
Seq_4343	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	NA	NA	NA	NA
Seq_4344	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA	NA
Seq_4345	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	NA	NA
Seq_4346	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4347	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaera	NA	NA
Seq_4348	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	NA	NA
Seq_4349	Bacteria	Gemmatimonadetes	S0134 terrestrial group	NA	NA	NA	NA	NA
Seq_4350	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	NA	NA
Seq_4351	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS 17	NA	NA	NA
Seq_4352	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	NA	NA
Seq_4353	Bacteria	Chloroflexi	Dehalococcoidia	S085	NA	NA	NA	NA
Seq_4354	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	NA
Seq_4355	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	NA	NA	NA
Seq_4356	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA	NA
Seq_4357	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4358	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4359	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4360	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4361	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA	NA
Seq_4362	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	NA
Seq_4363	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4364	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	NA
Seq_4365	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	NA
Seq_4366	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	TRA3-20	NA	NA	NA
Seq_4367	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA	NA
Seq_4368	Bacteria	Acidobacteria	Subgroup 6	Unknown Order	Unknown Family	Luteitalea	NA	NA
Seq_4369	Bacteria	Actinobacteria	Acidimicrobiia	NA	NA	NA	NA	NA
Seq_4370	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4371	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	NA
Seq_4372	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter	NA	NA
Seq_4373	Bacteria	Proteobacteria	Gammaproteobacteria	211ds20	NA	NA	NA	NA
Seq_4374	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	11-24	NA	NA	NA	NA
Seq_4375	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	NA
Seq_4376	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4377	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4378	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4379	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	NA
Seq_4380	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4381	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	SC-I-84	NA	NA	NA
Seq_4382	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	NA	NA
Seq_4383	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4384	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4 lineage	NA	NA
Seq_4385	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	NA	NA	NA
Seq_4386	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	NA
Seq_4387	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA	NA
Seq_4388	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA	NA
Seq_4389	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA	NA
Seq_4390	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4391	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4392	Bacteria	Planctomycetes	Pla4 lineage	NA	NA	NA	NA	NA
Seq_4393	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	NA
Seq_4394	Bacteria	Rokubacteria	NC10	Rokubacteriales	NA	NA	NA	NA
Seq_4395	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	NA	NA	NA
Seq_4396	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Ellin6067	NA	NA
Seq_4397	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	NA	NA
Seq_4398	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA	NA
Seq_4399	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4400	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4401	Bacteria	Proteobacteria	Gammaproteobacteria	CCD24	NA	NA	NA	NA
Seq_4402	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	NA	NA
Seq_4403	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	NA	NA
Seq_4404	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	NA	NA
Seq_4405	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	NA
Seq_4406	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4407	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4408	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA	NA
Seq_4409	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS 17	NA	NA	NA
Seq_4410	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	NA	NA
Seq_4411	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	NA	NA	NA
Seq_4412	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4413	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	NA
Seq_4414	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	NA
Seq_4415	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA	NA
Seq_4416	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	NA	NA
Seq_4417	Bacteria	Gemmatimonadetes	NA	NA	NA	NA	NA	NA
Seq_4418	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	NA
Seq_4419	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA	NA
Seq_4420	Bacteria	Planctomycetes	OM190	NA	NA	NA	NA	NA
Seq_4421	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4422	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA	NA
Seq_4423	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	NA	NA	NA
Seq_4424	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA	NA	NA
Seq_4425	Bacteria	Actinobacteria	0319-7L14	NA	NA	NA	NA	NA
Seq_4426	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA	NA
Seq_4427	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA	NA
Seq_4428	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	NA
Seq_4429	Bacteria	Actinobacteria	NA	NA	NA	NA	NA	NA
Seq_4430	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	37-13	NA	NA	NA
Seq_4431	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	NA	NA
Seq_4432	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	NA	NA	NA
Seq_4433	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9 marine group	NA	NA	NA
Seq_4434	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4435	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	NA	NA
Seq_4436	NA	NA	NA	NA	NA	NA	NA	NA
Seq_4437	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	NA	NA	NA	NA
Seq_4438	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4439	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	mle1-7	NA	NA
Seq_4440	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4441	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4442	Bacteria	NA	NA	NA	NA	NA	NA	NA
Seq_4443	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	NA
