Sample name,Workshop,Season,Run,Type,Sample type,Field (German),Field,Replicate,Control,Weight extracted (g),Extr. Date,Elution volume (ml),Dilution,Conc. (ng/ul),ng DNA,ng DNA g-1,260/280 [nm],260/230 [nm],Nanodrop Conc. (ng/ul),PCR products_16S_send for seq,Gene,Read1_file
GA7,2,Spring,3,Teabag,Green tea,Auboden,Fluvisol,3,FALSE,0.21,3.7.2018,100,1,377,37745.3,177207.8,1.9,2.06,219.5,10.7.2018; 12.7.2018,16S,Eva17_GA7_S226_L001_R1_001.fastq.gz
GA8,2,Spring,3,Teabag,Green tea,Auboden,Fluvisol,4,FALSE,0.21,3.7.2018,100,1,289,28854.6,140070.7,1.86,1.91,188.3,10.7.2018; 12.7.2018,16S,Eva24_GA8_S233_L001_R1_001.fastq.gz
RA5,2,Spring,3,Teabag,Rooibos,Auboden,Fluvisol,1,FALSE,0.2,3.7.2018,100,1,14,1360.2,6835.4,1.79,1.35,16.2,9.7.2018; 10.7.2018; 12.7.2018,16S,Eva4_RA5_S213_L001_R1_001.fastq.gz
RA6,2,Spring,3,Teabag,Rooibos,Auboden,Fluvisol,2,FALSE,0.22,3.7.2018,100,1,71,7092.7,32093.7,1.8,1.42,35.2,10.7.2018; 12.7.2018,16S,Eva10_RA6_S219_L001_R1_001.fastq.gz
RA7,2,Spring,3,Teabag,Rooibos,Auboden,Fluvisol,3,FALSE,0.23,3.7.2018,100,1,20,2028.5,9015.5,1.67,1.32,12.7,10.7.2018; 12.7.2018,16S,Eva18_RA7_S227_L001_R1_001.fastq.gz
RA8,2,Spring,3,Teabag,Rooibos,Auboden,Fluvisol,4,FALSE,0.25,3.7.2018,100,1,42,4184.3,17078.9,1.81,1.45,30.8,10.7.2018; 12.7.2018,16S,Eva25_RA8_S234_L001_R1_001.fastq.gz
K1-2-1,2,Spring,3,Soil,Soil,Kolluvisol,Luvisol,1,FALSE,0.26,3.7.2018,100,1,23,2336.5,8883.9,1.86,1.6,25.7,9.7.2018; 10.7.2018,16S,Eva5_K1-2-1_S214_L001_R1_001.fastq.gz
B1-2-1,2,Spring,3,Soil,Soil,Braunerde,Cambisol,1,FALSE,0.28,3.7.2018,100,1,133,13263.9,48232.3,1.83,1.95,66,9.7.2018; 10.7.2018,16S,Eva11_B1-2-1_S220_L001_R1_001.fastq.gz
A1-2-1,2,Spring,3,Soil,Soil,Auboden,Fluvisol,1,FALSE,0.25,3.7.2018,100,1,86,8618.1,34610.7,1.87,1.73,41.6,9.7.2018; 10.7.2018,16S,Eva19_A1-2-1_S228_L001_R1_001.fastq.gz
blank extraction,2,Spring,3,Control,Control,NA,NA,1,TRUE,NA,3.7.2018,100,1,0,NA,NA,2.86,0.52,1.5,9.7.2018; 10.7.2018,16S,Eva6_blank_extr_S215_L001_R1_001.fastq.gz
