"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_185","Seq_185",0.157224717113437,-0.904079213972493,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"Seq_896","Seq_896",0.0365539520841852,0.897568897836483,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_113","Seq_113",0.00537496810538656,-0.896669513316744,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_1148","Seq_1148",0.026487040830708,0.89431764033386,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_735","Seq_735",0.0114139794047259,-0.893286991341914,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera"
"Seq_544","Seq_544",0.0163147502898086,0.892308707373738,"Rare","Subgroup_6","Unknown_Order","Unknown_Family","Vicinamibacter"
"Seq_52","Seq_52",0.393221011711708,-0.890502301213721,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","MM1"
"Seq_1312","Seq_1312",0.0185372633722188,0.889837277479391,"Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"Seq_261","Seq_261",0.117929313324683,0.887366949306662,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudoflavitalea"
"Seq_253","Seq_253",0.0500524729759566,-0.886063130111712,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Seq_2213","Seq_2213",0.013033507529633,0.885556711131515,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leifsonia"
"Seq_156","Seq_156",0.021720981582153,-0.880506288144293,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Seq_890","Seq_890",0.00452496535646838,-0.877999769370174,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_323","Seq_323",0.0622175503042819,-0.877697838416208,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"Seq_521","Seq_521",0.0645126769483317,0.875821522743738,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_412","Seq_412",0.0810356584537415,0.874658203099216,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas"
"Seq_561","Seq_561",0.0837043594317145,0.870718004411869,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Unclassified"
