"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_35","Seq_35",0.527228339326621,-2.21769908744618,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas"
"Seq_340","Seq_340",0.0841260206974317,2.2171834346193,"Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Unclassified"
"Seq_497","Seq_497",0.0619799226405657,-2.20935364886483,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_320","Seq_320",0.05986065551516,2.18937982379247,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_552","Seq_552",0.0461377692787118,2.18441752728928,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_12","Seq_12",1.09757571546539,2.17864460186982,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Seq_241","Seq_241",0.0897977885971196,2.16167235234559,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_511","Seq_511",0.0385317680831067,2.13564378119515,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga"
"Seq_262","Seq_262",0.0879916264730103,-2.13434205608098,"Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter"
"Seq_275","Seq_275",0.0854848846888566,2.13428042886377,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_567","Seq_567",0.0465342035191166,2.1297606847634,"Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"Seq_480","Seq_480",0.0681900037866057,-2.10839483522337,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia"
"Seq_308","Seq_308",0.0799021180812826,2.10728674905383,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"Seq_828","Seq_828",0.0288232445071079,2.101249924841,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"Seq_242","Seq_242",0.0554701163870359,2.10114848893889,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herbaspirillum"
"Seq_625","Seq_625",0.0377859544750736,2.08528123276251,"Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"Seq_350","Seq_350",0.0291302331612551,2.07641152239095,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Seq_318","Seq_318",0.0769419147096885,2.0752501655925,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_290","Seq_290",0.0898036799168125,2.0690830309342,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
