"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_113","Seq_113",0.00367425168345914,-0.593085011236433,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_71","Seq_71",0.696219948917952,0.592704649702087,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Galbitalea"
"Seq_310","Seq_310",0.00949915974847952,-0.592575894691574,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_474","Seq_474",0.0839930262476014,0.589574588149153,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella"
"Seq_332","Seq_332",0.0728351154548756,-0.588788557220229,"Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","IMCC26134"
"Seq_975","Seq_975",0.0391777316734871,0.588219049796117,"Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Unclassified"
"Seq_224","Seq_224",0.18465560003997,0.587235069361803,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_909","Seq_909",0.037918162795311,0.58681357452048,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Unclassified"
"Seq_643","Seq_643",0.00637047166374237,-0.586538378368385,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_58","Seq_58",0.126207059395935,-0.585753264770718,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia"
"Seq_69","Seq_69",0.693083236686054,-0.585352157683378,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified"
"Seq_2213","Seq_2213",0.0141590495141904,0.583707735856215,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leifsonia"
"Seq_2397","Seq_2397",0.0128208994368079,0.583322799535853,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Unclassified","Unclassified"
