"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_619","Seq_619",0.0396156344089783,0.952821328375481,"Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola"
"Seq_351","Seq_351",0.0696278295099122,-0.951410733224859,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"Seq_919","Seq_919",0.0105702923017635,-0.949974983284981,"Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"Seq_1264","Seq_1264",0.0161658242644223,0.948778635583531,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_1108","Seq_1108",0.0158003532562711,0.943766349356739,"Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"Seq_312","Seq_312",0.0188637312934073,-0.941432049190966,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_139","Seq_139",0.0513464511956873,-0.937605197823729,"Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia"
"Seq_192","Seq_192",0.0373890759251621,-0.935500730524781,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Filimonas"
"Seq_523","Seq_523",0.0710548856312053,-0.933174359713757,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_763","Seq_763",0.0205703665556758,-0.93275454668666,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseococcus"
"Seq_224","Seq_224",0.00843775348904151,-0.929395655807388,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_1775","Seq_1775",0.00635670820246644,-0.9269662006048,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium"
"Seq_234","Seq_234",0.0150960443927313,0.925872459814453,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Caenimonas"
"Seq_245","Seq_245",0.0490690641723005,-0.911382931698653,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella"
"Seq_31","Seq_31",0.225949771887363,-0.90906769974511,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Achromobacter"
"Seq_41","Seq_41",0.0508591595590322,-0.90480480703065,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Achromobacter"
"Seq_169","Seq_169",0.158051630397287,-0.896859027504906,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_1731","Seq_1731",0.0115038050242946,0.890314197640452,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_1701","Seq_1701",0.0195635833137018,-0.889412379404998,"Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter"
"Seq_42","Seq_42",0.250688609511245,-0.888605752860425,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"Seq_189","Seq_189",0.146613149564123,0.88544626844095,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhodoferax"
"Seq_216","Seq_216",0.124693817933677,0.885016855475012,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"Seq_2169","Seq_2169",0.00471228791872297,-0.881057588711618,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catellatospora"
"Seq_1980","Seq_1980",0.0102841072549772,0.879398759817712,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"Seq_341","Seq_341",0.0193427272882543,-0.878106632984792,"Actinobacteria","Actinobacteria","Frankiales","Cryptosporangiaceae","Cryptosporangium"
"Seq_82","Seq_82",0.381594795037571,-0.868508857430998,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
"Seq_329","Seq_329",0.068999799707013,-0.867076649288319,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"Seq_459","Seq_459",0.0417728097439979,-0.86337151410995,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Unclassified"
